"longitude","latitude","id_cells","period","sampling_effort","periods"
-77.080002,43,1664,"present",1,2
-77.070992,38.943398,1322,"present",2,2
-77.0539,42.6609,1621,"past",1,1
-77.0538577,42.6609026,1621,"past",9,1
-77.046,38.9969,1322,"present",1,2
-77.039141,37.585865,1193,"past",43,1
-77.03672,40.107903,1407,"present",4,2
-77.032875,39.05896,1322,"present",2,2
-77.009987,39.076797,1322,"present",2,2
-77.008125,39.0807300000001,1322,"present",4,2
-76.999435,40.280037,1407,"present",2,2
-76.994583,38.93716,1322,"present",2,2
-76.98962,42.862656,1621,"present",1,2
-76.98954,38.942028,1322,"present",1,2
-76.985557,42.8679836,1621,"past",1,1
-76.982597,40.191502,1407,"present",1,2
-76.9678,39.3737,1364,"past",2,1
-76.9677566,39.3737149,1364,"past",59,1
-76.965233,38.942104,1322,"present",1,2
-76.96435,40.61502,1450,"present",5,2
-76.959236,38.979717,1322,"present",1,2
-76.95166,39.099831,1322,"present",4,2
-76.94989,38.98485,1322,"present",2,2
-76.949677,38.95332,1322,"present",2,2
